video_id,avg_face_count,max_face_coverage,body_presence_score,dominant_emotion_angry,dominant_emotion_fear,dominant_emotion_happy,dominant_emotion_neutral,dominant_emotion_none,dominant_emotion_sad,dominant_emotion_surprise
VIDEO_7343665662876781856,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7372567531258727712,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7391169699821669665,1.0,0.0008,1.0,False,False,False,False,False,True,False
VIDEO_7391879654983912736,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7351084194061126945,1.0,0.0006,0.6666666666666666,False,False,False,False,False,True,False
VIDEO_7397696022975188257,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7371436708778315041,0.6666666666666666,0.0061,0.6666666666666666,False,False,False,False,True,False,False
VIDEO_7366182227119525152,3.0,0.0006,1.0,False,False,False,False,False,True,False
VIDEO_7391036925550906657,1.0,0.0017,1.0,False,True,False,False,False,False,False
VIDEO_7384098121715813664,0.3333333333333333,0.0008,0.3333333333333333,False,False,False,False,True,False,False
VIDEO_7333568243367431456,0.3333333333333333,0.0002,0.3333333333333333,False,False,False,False,True,False,False
VIDEO_7369623012087172384,0.6666666666666666,0.0002,0.3333333333333333,False,False,False,False,True,False,False
VIDEO_7439301301864877344,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7369882061445926177,0.6666666666666666,0.0011,0.6666666666666666,False,False,False,False,False,True,False
VIDEO_7379994182741429536,0.0,0.0,0.6666666666666666,False,False,False,False,True,False,False
VIDEO_7361717788299250976,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7510326060676975894,0.0,0.0,0.6666666666666666,False,False,False,False,True,False,False
VIDEO_7475642830430522646,0.0,0.0,0.0,False,False,False,False,True,False,False
VIDEO_7494590607797554454,0.6666666666666666,0.0011,0.3333333333333333,False,False,False,False,True,False,False
VIDEO_7458380266004843798,0.0,0.0,0.0,False,False,False,False,True,False,False
